"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538396"
"kwazulu-natal","Private Health","1238380"
"western cape","Private Health","1924411"
"limpopo","Private Health","611750"
"northern cape","Public Health","616127"
"gauteng","Private Health","4587499"
"kwazulu-natal","Public Health","4696495"
"mpumalanga","","20"
"free state","Public Health","1877510"
"north west","Public Health","1800740"
"gauteng","Public Health","5883787"
"mpumalanga","Private Health","406907"
"mpumalanga","Public Health","1955772"
"western cape","","3"
"northern cape","Private Health","158459"
"eastern cape","Private Health","695456"
"western cape","Public Health","3703829"
"limpopo","Public Health","3184065"
"limpopo","","2"
"free state","Private Health","402131"
"eastern cape","Public Health","3608142"
