"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","3","0","4","7"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","29","0","10","39"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","3","0","3","6"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","3","0","14","17"
"Janssen Vaccines & Prevention B.V","north west","Adults","13","0","39","52"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0","0","1","1"
"Pfizer","free state","Adults","5","29","45","79"
"Pfizer","gauteng","12-17 Years","2","1","0","3"
"Pfizer","gauteng","Adults","2","8","7","17"
"Pfizer","kwazulu-natal","12-17 Years","4","0","0","4"
"Pfizer","kwazulu-natal","Adults","7","6","6","19"
"Pfizer","mpumalanga","Adults","1","1","6","8"
"Pfizer","north west","12-17 Years","2","5","0","7"
"Pfizer","north west","Adults","6","20","24","50"
