"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538474"
"kwazulu-natal","Private Health","1238456"
"western cape","Private Health","1924619"
"limpopo","Private Health","611972"
"northern cape","Public Health","616934"
"gauteng","Private Health","4588290"
"kwazulu-natal","Public Health","4699002"
"mpumalanga","","22"
"free state","Public Health","1878337"
"north west","Public Health","1802497"
"gauteng","Public Health","5888249"
"mpumalanga","Private Health","406916"
"mpumalanga","Public Health","1957574"
"western cape","","3"
"northern cape","Private Health","158472"
"eastern cape","Private Health","695495"
"western cape","Public Health","3705781"
"limpopo","Public Health","3187066"
"limpopo","","2"
"free state","Private Health","402180"
"eastern cape","Public Health","3614372"
