"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14468","5554","20022"
"National","eastern cape","Amathole DM","Public Health","Male","12385","4545","16930"
"National","eastern cape","A Nzo DM","Public Health","Female","32706","17406","50112"
"National","eastern cape","A Nzo DM","Public Health","Male","28895","13549","42444"
"National","eastern cape","Buffalo City MM","Private Health","Female","2815","1153","3968"
"National","eastern cape","Buffalo City MM","Private Health","Male","2294","890","3184"
"National","eastern cape","Buffalo City MM","Public Health","Female","16488","9541","26029"
"National","eastern cape","Buffalo City MM","Public Health","Male","13037","6705","19742"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","155","75","230"
"National","eastern cape","C Hani DM","Public Health","Female","13776","3605","17381"
"National","eastern cape","C Hani DM","Public Health","Male","11088","2629","13717"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","652","362","1014"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","490","215","705"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7823","2712","10535"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6992","2193","9185"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4037","2032","6069"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3662","1702","5364"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15828","6506","22334"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12307","4616","16923"
"National","eastern cape","O Tambo DM","Private Health","Female","308","119","427"
"National","eastern cape","O Tambo DM","Private Health","Male","244","112","356"
"National","eastern cape","O Tambo DM","Public Health","Female","43751","17013","60764"
"National","eastern cape","O Tambo DM","Public Health","Male","36733","12706","49439"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1565","1075","2640"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1355","813","2168"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9590","5375","14965"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8055","4001","12056"
"National","free state","Fezile Dabi DM","Private Health","Female","471","340","811"
"National","free state","Fezile Dabi DM","Private Health","Male","447","282","729"
"National","free state","Fezile Dabi DM","Public Health","Female","13138","5010","18148"
"National","free state","Fezile Dabi DM","Public Health","Male","10743","3633","14376"
"National","free state","Lejweleputswa DM","Private Health","Female","3735","1442","5177"
"National","free state","Lejweleputswa DM","Private Health","Male","2992","1084","4076"
"National","free state","Lejweleputswa DM","Public Health","Female","14008","5273","19281"
"National","free state","Lejweleputswa DM","Public Health","Male","12014","3728","15742"
"National","free state","Mangaung MM","Private Health","Female","2945","1920","4865"
"National","free state","Mangaung MM","Private Health","Male","2421","1452","3873"
"National","free state","Mangaung MM","Public Health","Female","23372","13844","37216"
"National","free state","Mangaung MM","Public Health","Male","20874","11189","32063"
"National","free state","T Mofutsanyana DM","Private Health","Female","1833","1116","2949"
"National","free state","T Mofutsanyana DM","Private Health","Male","1573","907","2480"
"National","free state","T Mofutsanyana DM","Public Health","Female","26683","15407","42090"
"National","free state","T Mofutsanyana DM","Public Health","Male","22938","11622","34560"
"National","free state","Xhariep DM","Public Health","Female","4244","1195","5439"
"National","free state","Xhariep DM","Public Health","Male","3468","814","4282"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10713","6520","17233"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9870","5577","15447"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40586","15228","55814"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32155","11158","43313"
"National","gauteng","Johannesburg MM","Private Health","Female","25158","13608","38766"
"National","gauteng","Johannesburg MM","Private Health","Male","22988","11842","34830"
"National","gauteng","Johannesburg MM","Public Health","Female","46063","16744","62807"
"National","gauteng","Johannesburg MM","Public Health","Male","37346","13105","50451"
"National","gauteng","Sedibeng DM","Private Health","Female","1574","1002","2576"
"National","gauteng","Sedibeng DM","Private Health","Male","1405","680","2085"
"National","gauteng","Sedibeng DM","Public Health","Female","13673","5862","19535"
"National","gauteng","Sedibeng DM","Public Health","Male","10797","4517","15314"
"National","gauteng","Tshwane MM","Private Health","Female","11374","6558","17932"
"National","gauteng","Tshwane MM","Private Health","Male","10836","5948","16784"
"National","gauteng","Tshwane MM","Public Health","Female","39813","18628","58441"
"National","gauteng","Tshwane MM","Public Health","Male","30836","13118","43954"
"National","gauteng","West Rand DM","Private Health","Female","2161","1492","3653"
"National","gauteng","West Rand DM","Private Health","Male","1801","1221","3022"
"National","gauteng","West Rand DM","Public Health","Female","17395","8794","26189"
"National","gauteng","West Rand DM","Public Health","Male","14234","6575","20809"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","180","55","235"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6495","2815","9310"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4194","1745","5939"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11673","6861","18534"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10887","6093","16980"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14407","5539","19946"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11759","4449","16208"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","350","161","511"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","341","133","474"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12916","7739","20655"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10108","5606","15714"
"National","kwazulu-natal","iLembe DM","Private Health","Female","539","329","868"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8270","4115","12385"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4888","2203","7091"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","327","130","457"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","302","91","393"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12288","5015","17303"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7986","3061","11047"
"National","kwazulu-natal","Ugu DM","Private Health","Female","888","552","1440"
"National","kwazulu-natal","Ugu DM","Private Health","Male","711","421","1132"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12305","5128","17433"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7959","2767","10726"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1595","828","2423"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1484","757","2241"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12540","4993","17533"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8750","3082","11832"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20363","10285","30648"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12903","5407","18310"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14763","6293","21056"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9107","3429","12536"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","279","120","399"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","75","256"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15147","6836","21983"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10233","4015","14248"
"National","kwazulu-natal","Zululand DM","Private Health","Female","59","7","66"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","23963","12778","36741"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17249","8093","25342"
"National","limpopo","Capricorn DM","Private Health","Female","2569","1378","3947"
"National","limpopo","Capricorn DM","Private Health","Male","2107","1038","3145"
"National","limpopo","Capricorn DM","Public Health","Female","34679","14163","48842"
"National","limpopo","Capricorn DM","Public Health","Male","29820","10762","40582"
"National","limpopo","Mopani DM","Private Health","Female","955","471","1426"
"National","limpopo","Mopani DM","Private Health","Male","835","397","1232"
"National","limpopo","Mopani DM","Public Health","Female","36425","12600","49025"
"National","limpopo","Mopani DM","Public Health","Male","29956","9080","39036"
"National","limpopo","Sekhukhune DM","Private Health","Female","885","467","1352"
"National","limpopo","Sekhukhune DM","Private Health","Male","889","362","1251"
"National","limpopo","Sekhukhune DM","Public Health","Female","25478","9573","35051"
"National","limpopo","Sekhukhune DM","Public Health","Male","24962","8064","33026"
"National","limpopo","Vhembe DM","Private Health","Female","5824","2470","8294"
"National","limpopo","Vhembe DM","Private Health","Male","4014","1452","5466"
"National","limpopo","Vhembe DM","Public Health","Female","32295","10250","42545"
"National","limpopo","Vhembe DM","Public Health","Male","26884","7331","34215"
"National","limpopo","Waterberg DM","Private Health","Female","1234","509","1743"
"National","limpopo","Waterberg DM","Private Health","Male","1118","433","1551"
"National","limpopo","Waterberg DM","Public Health","Female","16543","6528","23071"
"National","limpopo","Waterberg DM","Public Health","Male","13765","4770","18535"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2002","934","2936"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1708","834","2542"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","46079","19120","65199"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","35124","12383","47507"
"National","mpumalanga","G Sibande DM","Private Health","Female","694","266","960"
"National","mpumalanga","G Sibande DM","Private Health","Male","589","246","835"
"National","mpumalanga","G Sibande DM","Public Health","Female","15377","6015","21392"
"National","mpumalanga","G Sibande DM","Public Health","Male","11856","4082","15938"
"National","mpumalanga","Nkangala DM","Private Health","Female","1048","439","1487"
"National","mpumalanga","Nkangala DM","Private Health","Male","1005","396","1401"
"National","mpumalanga","Nkangala DM","Public Health","Female","15979","6148","22127"
"National","mpumalanga","Nkangala DM","Public Health","Male","16632","5133","21765"
"National","northern cape","Frances Baard DM","Private Health","Female","1227","618","1845"
"National","northern cape","Frances Baard DM","Private Health","Male","1166","503","1669"
"National","northern cape","Frances Baard DM","Public Health","Female","6378","3103","9481"
"National","northern cape","Frances Baard DM","Public Health","Male","5145","2306","7451"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","196","511"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","271","143","414"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3297","1223","4520"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2553","900","3453"
"National","northern cape","Namakwa DM","Private Health","Female","167","98","265"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1546","570","2116"
"National","northern cape","Namakwa DM","Public Health","Male","1223","431","1654"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3589","1591","5180"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2746","1142","3888"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","315","109","424"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","261","76","337"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3665","1577","5242"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2898","1103","4001"
"National","north west","Bojanala Platinum DM","Private Health","Female","2432","1169","3601"
"National","north west","Bojanala Platinum DM","Private Health","Male","2209","959","3168"
"National","north west","Bojanala Platinum DM","Public Health","Female","29781","12342","42123"
"National","north west","Bojanala Platinum DM","Public Health","Male","24547","9047","33594"
"National","north west","Dr K Kaunda DM","Private Health","Female","1340","657","1997"
"National","north west","Dr K Kaunda DM","Private Health","Male","1142","528","1670"
"National","north west","Dr K Kaunda DM","Public Health","Female","12569","4417","16986"
