"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","68"
"eastern cape","Public Health","2993"
"free state","Private Health","49"
"free state","Public Health","916"
"gauteng","Private Health","534"
"gauteng","Public Health","1493"
"kwazulu-natal","Private Health","129"
"kwazulu-natal","Public Health","1654"
"limpopo","Private Health","348"
"limpopo","Public Health","1364"
"mpumalanga","Private Health","62"
"mpumalanga","Public Health","1110"
"northern cape","Private Health","19"
"northern cape","Public Health","231"
"north west","Private Health","80"
"north west","Public Health","212"
"western cape","Private Health","186"
"western cape","Public Health","693"
