"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","521734"
"kwazulu-natal","Private Health","1201206"
"western cape","Private Health","1864167"
"limpopo","Private Health","580717"
"northern cape","Public Health","558042"
"gauteng","Private Health","4421524"
"kwazulu-natal","Public Health","4337194"
"free state","Public Health","1759311"
"north west","Public Health","1706987"
"gauteng","Public Health","5595795"
"mpumalanga","Private Health","389128"
"mpumalanga","Public Health","1769018"
"northern cape","Private Health","152535"
"eastern cape","Private Health","671264"
"western cape","Public Health","3575058"
"limpopo","Public Health","2952516"
"free state","Private Health","384366"
"eastern cape","Public Health","3291099"
