"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","899694"
"Janssen Vaccines & Prevention B.V","free state","Adults","478739"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1500807"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1207093"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1060682"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","796807"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210753"
"Janssen Vaccines & Prevention B.V","north west","Adults","702524"
"Janssen Vaccines & Prevention B.V","western cape","Adults","737501"
"Pfizer","eastern cape","12-17 Years","74742"
"Pfizer","eastern cape","Adults","1095700"
"Pfizer","free state","12-17 Years","68886"
"Pfizer","free state","Adults","575789"
"Pfizer","gauteng","12-17 Years","153824"
"Pfizer","gauteng","Adults","3316495"
"Pfizer","kwazulu-natal","12-17 Years","95244"
"Pfizer","kwazulu-natal","Adults","1593002"
"Pfizer","limpopo","12-17 Years","74155"
"Pfizer","limpopo","Adults","856175"
"Pfizer","mpumalanga","12-17 Years","37057"
"Pfizer","mpumalanga","Adults","455412"
"Pfizer","northern cape","12-17 Years","8763"
"Pfizer","northern cape","Adults","187499"
"Pfizer","north west","12-17 Years","46016"
"Pfizer","north west","Adults","526600"
"Pfizer","western cape","12-17 Years","49716"
"Pfizer","western cape","Adults","1836674"
