"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10679","4966","15645"
"National","eastern cape","Private Health","Male","8922","3794","12716"
"National","eastern cape","Public Health","Female","134963","39409","174372"
"National","eastern cape","Public Health","Male","109178","26573","135751"
"National","free state","Private Health","Female","9080","4182","13262"
"National","free state","Private Health","Male","7429","3208","10637"
"National","free state","Public Health","Female","81308","35485","116793"
"National","free state","Public Health","Male","69113","26011","95124"
"National","gauteng","Private Health","Female","54208","29123","83331"
"National","gauteng","Private Health","Male","49358","24720","74078"
"National","gauteng","Public Health","Female","155253","57849","213102"
"National","gauteng","Public Health","Male","122240","42132","164372"
"National","kwazulu-natal","Private Health","Female","17491","9498","26989"
"National","kwazulu-natal","Private Health","Male","15742","7998","23740"
"National","kwazulu-natal","Public Health","Female","136528","48762","185290"
"National","kwazulu-natal","Public Health","Male","92297","28986","121283"
"National","limpopo","Private Health","Female","11185","4602","15787"
"National","limpopo","Private Health","Male","8741","3302","12043"
"National","limpopo","Public Health","Female","125256","38092","163348"
"National","limpopo","Public Health","Male","105657","28159","133816"
"National","mpumalanga","Private Health","Female","4027","1643","5670"
"National","mpumalanga","Private Health","Male","3515","1417","4932"
"National","mpumalanga","Public Health","Female","70170","19816","89986"
"National","mpumalanga","Public Health","Male","58444","14181","72625"
"National","northern cape","Private Health","Female","2151","1008","3159"
"National","northern cape","Private Health","Male","1947","745","2692"
"National","northern cape","Public Health","Female","14321","4019","18340"
"National","northern cape","Public Health","Male","11285","2991","14276"
"National","north west","Private Health","Female","5286","2369","7655"
"National","north west","Private Health","Male","4766","1980","6746"
"National","north west","Public Health","Female","76426","24347","100773"
"National","north west","Public Health","Male","62820","17320","80140"
"National","western cape","Private Health","Female","23710","11955","35665"
"National","western cape","Private Health","Male","21196","10194","31390"
"National","western cape","Public Health","Female","46893","15205","62098"
"National","western cape","Public Health","Male","38863","12362","51225"
