"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Public Health","89"
"free state","Private Health","3"
"free state","Public Health","2"
"gauteng","Private Health","56"
"gauteng","Public Health","135"
"kwazulu-natal","Private Health","0"
"kwazulu-natal","Public Health","36"
"limpopo","Private Health","11"
"limpopo","Public Health","12"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","22"
"northern cape","Private Health","1"
"northern cape","Public Health","62"
"north west","Public Health","114"
"western cape","Private Health","13"
"western cape","Public Health","68"
