"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","33","0","13","46"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","10","0","9","19"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","10","0","9","19"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","8","0","0","8"
"Janssen Vaccines & Prevention B.V","north west","Adults","11","0","47","58"
"Janssen Vaccines & Prevention B.V","western cape","Adults","15","0","14","29"
"Pfizer","eastern cape","12-17 Years","0","1","0","1"
"Pfizer","eastern cape","Adults","5","6","9","20"
"Pfizer","free state","12-17 Years","1","0","0","1"
"Pfizer","free state","Adults","0","0","0","0"
"Pfizer","gauteng","12-17 Years","8","7","0","15"
"Pfizer","gauteng","Adults","50","49","41","140"
"Pfizer","kwazulu-natal","12-17 Years","0","3","0","3"
"Pfizer","kwazulu-natal","Adults","10","10","8","28"
"Pfizer","limpopo","12-17 Years","1","1","0","2"
"Pfizer","limpopo","Adults","6","3","4","13"
"Pfizer","mpumalanga","Adults","8","14","6","28"
"Pfizer","northern cape","12-17 Years","0","1","0","1"
"Pfizer","northern cape","Adults","0","1","0","1"
"Pfizer","north west","12-17 Years","3","5","0","8"
"Pfizer","north west","Adults","11","17","12","40"
"Pfizer","western cape","12-17 Years","5","2","0","7"
"Pfizer","western cape","Adults","11","12","44","67"
