"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","53"
"eastern cape","Public Health","163"
"free state","Private Health","6"
"free state","Public Health","11"
"gauteng","Private Health","412"
"gauteng","Public Health","139"
"kwazulu-natal","Private Health","101"
"kwazulu-natal","Public Health","339"
"limpopo","Private Health","66"
"limpopo","Public Health","74"
"mpumalanga","Private Health","39"
"mpumalanga","Public Health","64"
"northern cape","Private Health","8"
"northern cape","Public Health","132"
"north west","Private Health","37"
"north west","Public Health","171"
"western cape","Private Health","156"
"western cape","Public Health","3"
