"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","20","0","31","51"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","60","0","33","93"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","87","0","80","167"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0","0","5","5"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","21","0","16","37"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","18","0","42","60"
"Janssen Vaccines & Prevention B.V","north west","Adults","31","0","65","96"
"Janssen Vaccines & Prevention B.V","western cape","Adults","6","0","6","12"
"Pfizer","eastern cape","12-17 Years","44","17","0","61"
"Pfizer","eastern cape","Adults","36","31","37","104"
"Pfizer","free state","12-17 Years","0","2","0","2"
"Pfizer","free state","Adults","2","5","8","15"
"Pfizer","gauteng","12-17 Years","17","45","0","62"
"Pfizer","gauteng","Adults","102","134","160","396"
"Pfizer","kwazulu-natal","12-17 Years","12","30","0","42"
"Pfizer","kwazulu-natal","Adults","53","95","83","231"
"Pfizer","limpopo","12-17 Years","50","7","0","57"
"Pfizer","limpopo","Adults","44","24","10","78"
"Pfizer","mpumalanga","12-17 Years","2","2","0","4"
"Pfizer","mpumalanga","Adults","17","23","22","62"
"Pfizer","northern cape","12-17 Years","12","11","0","23"
"Pfizer","northern cape","Adults","23","20","14","57"
"Pfizer","north west","12-17 Years","12","10","0","22"
"Pfizer","north west","Adults","17","36","37","90"
"Pfizer","western cape","12-17 Years","8","10","0","18"
"Pfizer","western cape","Adults","28","23","78","129"
