"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537128"
"kwazulu-natal","Private Health","1236829"
"western cape","Private Health","1922295"
"limpopo","Private Health","609102"
"northern cape","Public Health","608999"
"gauteng","Private Health","4574370"
"kwazulu-natal","Public Health","4664689"
"free state","Public Health","1865672"
"north west","Public Health","1786312"
"gauteng","Public Health","5838563"
"mpumalanga","Private Health","406395"
"mpumalanga","Public Health","1931238"
"northern cape","Private Health","158074"
"eastern cape","Private Health","694206"
"western cape","Public Health","3683629"
"limpopo","Public Health","3145949"
"free state","Private Health","400446"
"eastern cape","Public Health","3549503"
