"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","109"
"eastern cape","Public Health","410"
"free state","Private Health","15"
"free state","Public Health","54"
"gauteng","Private Health","434"
"gauteng","Public Health","429"
"kwazulu-natal","Private Health","55"
"kwazulu-natal","Public Health","415"
"limpopo","Private Health","74"
"limpopo","Public Health","165"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","95"
"northern cape","Private Health","21"
"north west","Private Health","30"
"north west","Public Health","627"
"western cape","Private Health","44"
"western cape","Public Health","27"
