"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","102786"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119750"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72050"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107467"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51377"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165564"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","211758"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90751"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81229"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","75950"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153509"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144736"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33354"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","325052"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","557743"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102565"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","468098"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","107707"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80019"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","343813"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58706"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63649"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102792"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67726"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141319"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102583"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97526"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","96799"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98860"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","274287"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","244940"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","186416"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","243860"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136301"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","414758"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189009"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232137"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","71838"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41637"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16366"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28246"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","58966"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","295718"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109287"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201003"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110549"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","433001"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121575"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6835"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","77997"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47489"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68622"
"Pfizer","eastern cape","Amathole DM","12-17 Years","8350"
"Pfizer","eastern cape","Amathole DM","Adults","148451"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","24788"
"Pfizer","eastern cape","A Nzo DM","Adults","102464"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","17255"
"Pfizer","eastern cape","Buffalo City MM","Adults","211664"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6422"
"Pfizer","eastern cape","C Hani DM","Adults","118789"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5425"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","55975"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14727"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","275860"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29339"
"Pfizer","eastern cape","O Tambo DM","Adults","136257"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11188"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93319"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9141"
"Pfizer","free state","Fezile Dabi DM","Adults","93757"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11565"
"Pfizer","free state","Lejweleputswa DM","Adults","153719"
"Pfizer","free state","Mangaung MM","12-17 Years","28061"
"Pfizer","free state","Mangaung MM","Adults","201270"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29169"
"Pfizer","free state","T Mofutsanyana DM","Adults","137288"
"Pfizer","free state","Xhariep DM","12-17 Years","1995"
"Pfizer","free state","Xhariep DM","Adults","14194"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38840"
"Pfizer","gauteng","Ekurhuleni MM","Adults","806096"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55958"
"Pfizer","gauteng","Johannesburg MM","Adults","1491173"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12241"
"Pfizer","gauteng","Sedibeng DM","Adults","154950"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44389"
"Pfizer","gauteng","Tshwane MM","Adults","729781"
"Pfizer","gauteng","West Rand DM","12-17 Years","18110"
"Pfizer","gauteng","West Rand DM","Adults","234173"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4716"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","49893"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","23185"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","768940"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13705"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68116"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6982"
"Pfizer","kwazulu-natal","iLembe DM","Adults","98644"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8415"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92674"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8835"
"Pfizer","kwazulu-natal","Ugu DM","Adults","134384"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9614"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","213114"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15671"
"Pfizer","kwazulu-natal","Umkhanyakude DM","Adults","58562"
"Pfizer","kwazulu-natal","Umzinyathi DM","12-17 Years","9850"
"Pfizer","kwazulu-natal","Umzinyathi DM","Adults","42641"
"Pfizer","kwazulu-natal","Uthukela DM","12-17 Years","11193"
"Pfizer","kwazulu-natal","Uthukela DM","Adults","57552"
"Pfizer","kwazulu-natal","Zululand DM","12-17 Years","21141"
"Pfizer","kwazulu-natal","Zululand DM","Adults","84382"
"Pfizer","limpopo","Capricorn DM","12-17 Years","26374"
"Pfizer","limpopo","Capricorn DM","Adults","193463"
"Pfizer","limpopo","Mopani DM","12-17 Years","21469"
"Pfizer","limpopo","Mopani DM","Adults","176263"
"Pfizer","limpopo","Sekhukhune DM","12-17 Years","18340"
"Pfizer","limpopo","Sekhukhune DM","Adults","142813"
"Pfizer","limpopo","Vhembe DM","12-17 Years","21681"
"Pfizer","limpopo","Vhembe DM","Adults","203811"
"Pfizer","limpopo","Waterberg DM","12-17 Years","11922"
"Pfizer","limpopo","Waterberg DM","Adults","170493"
