"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537533"
"kwazulu-natal","Private Health","1237421"
"western cape","Private Health","1923183"
"limpopo","Private Health","609962"
"northern cape","Public Health","610504"
"gauteng","Private Health","4579256"
"kwazulu-natal","Public Health","4674174"
"mpumalanga","","15"
"free state","Public Health","1869364"
"north west","Public Health","1789617"
"gauteng","Public Health","5850428"
"mpumalanga","Private Health","406666"
"mpumalanga","Public Health","1937478"
"northern cape","Private Health","158195"
"eastern cape","Private Health","694582"
"western cape","Public Health","3688546"
"limpopo","Public Health","3154472"
"free state","Private Health","401005"
"eastern cape","Public Health","3563480"
