"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","64"
"eastern cape","Public Health","2106"
"free state","Private Health","1"
"free state","Public Health","593"
"gauteng","Private Health","445"
"gauteng","Public Health","1052"
"kwazulu-natal","Private Health","93"
"kwazulu-natal","Public Health","796"
"limpopo","Private Health","138"
"limpopo","Public Health","1252"
"mpumalanga","Private Health","22"
"mpumalanga","Public Health","826"
"northern cape","Private Health","9"
"northern cape","Public Health","183"
"north west","Private Health","53"
"north west","Public Health","218"
"western cape","Private Health","177"
"western cape","Public Health","571"
