"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","828794","0","90104","918898"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","449646","0","60081","509727"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1341936","0","149207","1491143"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1096201","0","117429","1213630"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1015977","0","92193","1108170"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","762374","0","75704","838078"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","199398","0","18572","217970"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","672378","0","80476","752854"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","636817","0","84857","721674"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60849","0","24220","85069"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137191","0","65357","202548"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94471","0","40020","134491"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34178","0","17016","51194"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21880","0","7150","29030"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9463","0","4455","13918"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23462","0","8964","32426"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94512","0","61527","156039"
"Pfizer","National","eastern cape","Adults","1301588","1082761","157926","2542275"
"Pfizer","National","eastern cape","12-17 Years","237782","55861","0","293643"
"Pfizer","National","free state","12-17 Years","158931","59912","0","218843"
"Pfizer","National","free state","Adults","653615","568800","97827","1320242"
"Pfizer","National","gauteng","12-17 Years","366137","136356","6","502499"
"Pfizer","National","gauteng","Adults","3815285","3281582","531609","7628476"
"Pfizer","National","kwazulu-natal","Adults","1904894","1569055","246912","3720861"
"Pfizer","National","kwazulu-natal","12-17 Years","238051","74112","4","312167"
"Pfizer","National","limpopo","Adults","1012714","845942","118736","1977392"
"Pfizer","National","limpopo","12-17 Years","229442","63340","0","292782"
"Pfizer","National","mpumalanga","12-17 Years","125927","30763","0","156690"
"Pfizer","National","mpumalanga","Adults","549996","449356","71346","1070698"
"Pfizer","National","northern cape","12-17 Years","24902","7576","0","32478"
"Pfizer","National","northern cape","Adults","217624","185493","24076","427193"
"Pfizer","National","north west","12-17 Years","142999","40124","0","183123"
"Pfizer","National","north west","Adults","604825","520348","83513","1208686"
"Pfizer","National","western cape","12-17 Years","129886","48137","1","178024"
"Pfizer","National","western cape","Adults","2086759","1824245","396637","4307641"
