"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10684","4809","15493"
"National","eastern cape","Private Health","Male","8880","3663","12543"
"National","eastern cape","Public Health","Female","121134","28534","149668"
"National","eastern cape","Public Health","Male","97084","18855","115939"
"National","free state","Private Health","Female","8870","3896","12766"
"National","free state","Private Health","Male","7238","2969","10207"
"National","free state","Public Health","Female","77325","30721","108046"
"National","free state","Public Health","Male","65498","22326","87824"
"National","gauteng","Private Health","Female","54189","28296","82485"
"National","gauteng","Private Health","Male","49155","23907","73062"
"National","gauteng","Public Health","Female","146867","48447","195314"
"National","gauteng","Public Health","Male","115926","35706","151632"
"National","kwazulu-natal","Private Health","Female","17485","9290","26775"
"National","kwazulu-natal","Private Health","Male","15747","7819","23566"
"National","kwazulu-natal","Public Health","Female","121985","35446","157431"
"National","kwazulu-natal","Public Health","Male","82834","21557","104391"
"National","limpopo","Private Health","Female","10656","4447","15103"
"National","limpopo","Private Health","Male","8393","3183","11576"
"National","limpopo","Public Health","Female","114374","31734","146108"
"National","limpopo","Public Health","Male","96019","23976","119995"
"National","mpumalanga","Private Health","Female","4048","1594","5642"
"National","mpumalanga","Private Health","Male","3518","1367","4885"
"National","mpumalanga","Public Health","Female","64252","16124","80376"
"National","mpumalanga","Public Health","Male","54109","11678","65787"
"National","northern cape","Private Health","Female","2136","982","3118"
"National","northern cape","Private Health","Male","1932","722","2654"
"National","northern cape","Public Health","Female","11578","3361","14939"
"National","northern cape","Public Health","Male","9256","2511","11767"
"National","north west","Private Health","Female","5235","2288","7523"
"National","north west","Private Health","Male","4724","1928","6652"
"National","north west","Public Health","Female","72817","20926","93743"
"National","north west","Public Health","Male","60223","14982","75205"
"National","western cape","Private Health","Female","23656","11595","35251"
"National","western cape","Private Health","Male","21064","9861","30925"
"National","western cape","Public Health","Female","46578","14711","61289"
"National","western cape","Public Health","Male","38588","11970","50558"
