"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","510666"
"kwazulu-natal","Private Health","1183182"
"western cape","Private Health","1832841"
"limpopo","Private Health","568845"
"northern cape","Public Health","541839"
"gauteng","Private Health","4349074"
"kwazulu-natal","Public Health","4197967"
"free state","Public Health","1710168"
"north west","Public Health","1666423"
"gauteng","Public Health","5475592"
"mpumalanga","Private Health","383003"
"mpumalanga","Public Health","1711493"
"northern cape","Private Health","149720"
"eastern cape","Private Health","659818"
"western cape","Public Health","3530537"
"limpopo","Public Health","2860693"
"free state","Private Health","375229"
"eastern cape","Public Health","3180067"
