"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","175"
"eastern cape","Public Health","223"
"free state","Private Health","107"
"free state","Public Health","7"
"gauteng","Private Health","1502"
"gauteng","Public Health","299"
"kwazulu-natal","Private Health","419"
"kwazulu-natal","Public Health","267"
"limpopo","Private Health","206"
"limpopo","Public Health","51"
"mpumalanga","Private Health","45"
"mpumalanga","Public Health","74"
"northern cape","Private Health","32"
"northern cape","Public Health","57"
"north west","Private Health","141"
"north west","Public Health","485"
"western cape","Private Health","418"
"western cape","Public Health","63"
