"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","906449"
"Janssen Vaccines & Prevention B.V","free state","Adults","481933"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1516562"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1218860"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1068689"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","806474"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","212241"
"Janssen Vaccines & Prevention B.V","north west","Adults","706978"
"Janssen Vaccines & Prevention B.V","western cape","Adults","742304"
"Pfizer","eastern cape","12-17 Years","87589"
"Pfizer","eastern cape","Adults","1105344"
"Pfizer","free state","12-17 Years","74586"
"Pfizer","free state","Adults","581122"
"Pfizer","gauteng","12-17 Years","162990"
"Pfizer","gauteng","Adults","3341749"
"Pfizer","kwazulu-natal","12-17 Years","110470"
"Pfizer","kwazulu-natal","Adults","1611816"
"Pfizer","limpopo","12-17 Years","84302"
"Pfizer","limpopo","Adults","863637"
"Pfizer","mpumalanga","12-17 Years","42766"
"Pfizer","mpumalanga","Adults","460353"
"Pfizer","northern cape","12-17 Years","10306"
"Pfizer","northern cape","Adults","189347"
"Pfizer","north west","12-17 Years","50199"
"Pfizer","north west","Adults","530935"
"Pfizer","western cape","12-17 Years","50779"
"Pfizer","western cape","Adults","1845245"
