"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","906449"
"eastern cape","Pfizer","1318932"
"free state","Johnson & Johnson","481933"
"free state","Pfizer","664188"
"gauteng","Johnson & Johnson","1516562"
"gauteng","Pfizer","3866640"
"kwazulu-natal","Johnson & Johnson","1218859"
"kwazulu-natal","Pfizer","1945089"
"limpopo","Johnson & Johnson","1068689"
"limpopo","Pfizer","1027652"
"mpumalanga","Johnson & Johnson","806474"
"mpumalanga","Pfizer","560803"
"northern cape","Johnson & Johnson","212241"
"northern cape","Pfizer","221567"
"north west","Johnson & Johnson","706978"
"north west","Pfizer","614008"
"western cape","Johnson & Johnson","742304"
"western cape","Pfizer","2104861"
