"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","526973"
"kwazulu-natal","Private Health","1211737"
"western cape","Private Health","1881584"
"limpopo","Private Health","589039"
"northern cape","Public Health","571650"
"gauteng","Private Health","4464518"
"kwazulu-natal","Public Health","4444201"
"free state","Public Health","1792947"
"north west","Public Health","1736709"
"gauteng","Public Health","5678439"
"mpumalanga","Private Health","393087"
"mpumalanga","Public Health","1813554"
"northern cape","Private Health","154363"
"eastern cape","Private Health","677842"
"western cape","Public Health","3605113"
"limpopo","Public Health","3022398"
"free state","Private Health","390003"
"eastern cape","Public Health","3364899"
