"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532750"
"kwazulu-natal","Private Health","1225482"
"western cape","Private Health","1903906"
"limpopo","Private Health","597712"
"northern cape","Public Health","592525"
"gauteng","Private Health","4523744"
"kwazulu-natal","Public Health","4563715"
"free state","Public Health","1830413"
"north west","Public Health","1767519"
"gauteng","Public Health","5766636"
"mpumalanga","Private Health","400479"
"mpumalanga","Public Health","1873521"
"northern cape","Private Health","156266"
"eastern cape","Private Health","686021"
"western cape","Public Health","3643765"
"limpopo","Public Health","3090018"
"free state","Private Health","395640"
"eastern cape","Public Health","3446638"
