"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","699"
"eastern cape","Public Health","9698"
"free state","Private Health","399"
"free state","Public Health","3903"
"gauteng","Private Health","4512"
"gauteng","Public Health","8886"
"kwazulu-natal","Private Health","1085"
"kwazulu-natal","Public Health","7315"
"limpopo","Private Health","898"
"limpopo","Public Health","7727"
"mpumalanga","Private Health","363"
"mpumalanga","Public Health","4096"
"northern cape","Private Health","199"
"northern cape","Public Health","1523"
"north west","Private Health","680"
"north west","Public Health","2918"
"western cape","Private Health","1681"
"western cape","Public Health","2776"
