"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","153"
"eastern cape","Public Health","316"
"free state","Private Health","127"
"free state","Public Health","62"
"gauteng","Private Health","1530"
"gauteng","Public Health","1128"
"kwazulu-natal","Private Health","374"
"kwazulu-natal","Public Health","581"
"limpopo","Private Health","114"
"limpopo","Public Health","295"
"mpumalanga","Private Health","38"
"mpumalanga","Public Health","169"
"northern cape","Private Health","46"
"northern cape","Public Health","10"
"north west","Private Health","79"
"north west","Public Health","693"
"western cape","Private Health","411"
"western cape","Public Health","94"
