"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","6"
"eastern cape","Public Health","2165"
"free state","Private Health","35"
"free state","Public Health","306"
"gauteng","Private Health","243"
"gauteng","Public Health","1447"
"kwazulu-natal","Private Health","18"
"kwazulu-natal","Public Health","654"
"limpopo","Private Health","49"
"limpopo","Public Health","1088"
"mpumalanga","Public Health","577"
"northern cape","Private Health","18"
"northern cape","Public Health","281"
"north west","Private Health","25"
"north west","Public Health","556"
"western cape","Private Health","13"
"western cape","Public Health","516"
