"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","528796"
"kwazulu-natal","Private Health","1215858"
"western cape","Private Health","1888628"
"limpopo","Private Health","591703"
"northern cape","Public Health","578432"
"gauteng","Private Health","4481880"
"kwazulu-natal","Public Health","4490105"
"free state","Public Health","1805407"
"north west","Public Health","1749197"
"gauteng","Public Health","5711500"
"mpumalanga","Private Health","394886"
"mpumalanga","Public Health","1833417"
"northern cape","Private Health","154928"
"eastern cape","Private Health","680352"
"western cape","Public Health","3617961"
"limpopo","Public Health","3053335"
"free state","Private Health","392214"
"eastern cape","Public Health","3397034"
