"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538187"
"kwazulu-natal","Private Health","1238112"
"western cape","Private Health","1924040"
"limpopo","Private Health","611262"
"northern cape","Public Health","614349"
"gauteng","Private Health","4584953"
"kwazulu-natal","Public Health","4690071"
"mpumalanga","","19"
"free state","Public Health","1875449"
"north west","Public Health","1797360"
"gauteng","Public Health","5874015"
"mpumalanga","Private Health","406880"
"mpumalanga","Public Health","1950451"
"western cape","","2"
"northern cape","Private Health","158389"
"eastern cape","Private Health","695277"
"western cape","Public Health","3698476"
"limpopo","Public Health","3174896"
"free state","Private Health","401961"
"eastern cape","Public Health","3592308"
