"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14249","5225","19474"
"National","eastern cape","Amathole DM","Public Health","Male","12156","4341","16497"
"National","eastern cape","A Nzo DM","Public Health","Female","31625","15986","47611"
"National","eastern cape","A Nzo DM","Public Health","Male","27706","12278","39984"
"National","eastern cape","Buffalo City MM","Private Health","Female","2845","1172","4017"
"National","eastern cape","Buffalo City MM","Private Health","Male","2316","894","3210"
"National","eastern cape","Buffalo City MM","Public Health","Female","16288","9379","25667"
"National","eastern cape","Buffalo City MM","Public Health","Male","12745","6512","19257"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13864","3623","17487"
"National","eastern cape","C Hani DM","Public Health","Male","11147","2637","13784"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","655","364","1019"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","496","217","713"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7864","2723","10587"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7036","2200","9236"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4073","2045","6118"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3685","1711","5396"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15628","6388","22016"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12180","4512","16692"
"National","eastern cape","O Tambo DM","Private Health","Female","310","119","429"
"National","eastern cape","O Tambo DM","Private Health","Male","247","112","359"
"National","eastern cape","O Tambo DM","Public Health","Female","43740","16908","60648"
"National","eastern cape","O Tambo DM","Public Health","Male","36673","12630","49303"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1575","1082","2657"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1371","821","2192"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9613","5382","14995"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8074","4000","12074"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13194","5022","18216"
"National","free state","Fezile Dabi DM","Public Health","Male","10763","3642","14405"
"National","free state","Lejweleputswa DM","Private Health","Female","3776","1450","5226"
"National","free state","Lejweleputswa DM","Private Health","Male","3017","1090","4107"
"National","free state","Lejweleputswa DM","Public Health","Female","14071","5299","19370"
"National","free state","Lejweleputswa DM","Public Health","Male","12067","3733","15800"
"National","free state","Mangaung MM","Private Health","Female","2965","1906","4871"
"National","free state","Mangaung MM","Private Health","Male","2440","1444","3884"
"National","free state","Mangaung MM","Public Health","Female","23477","13891","37368"
"National","free state","Mangaung MM","Public Health","Male","20956","11218","32174"
"National","free state","T Mofutsanyana DM","Private Health","Female","1844","1123","2967"
"National","free state","T Mofutsanyana DM","Private Health","Male","1584","918","2502"
"National","free state","T Mofutsanyana DM","Public Health","Female","26830","15488","42318"
"National","free state","T Mofutsanyana DM","Public Health","Male","23051","11654","34705"
