"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","510636"
"kwazulu-natal","Private Health","1182857"
"western cape","Private Health","1832681"
"limpopo","Private Health","568783"
"northern cape","Public Health","541784"
"gauteng","Private Health","4348044"
"kwazulu-natal","Public Health","4197019"
"free state","Public Health","1710107"
"north west","Public Health","1665234"
"gauteng","Public Health","5474726"
"mpumalanga","Private Health","382960"
"mpumalanga","Public Health","1711366"
"northern cape","Private Health","149684"
"eastern cape","Private Health","659765"
"western cape","Public Health","3530463"
"limpopo","Public Health","2860389"
"free state","Private Health","375144"
"eastern cape","Public Health","3179677"
