"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","889605"
"Janssen Vaccines & Prevention B.V","free state","Adults","474027"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1478938"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1190520"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1050113"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","784224"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208847"
"Janssen Vaccines & Prevention B.V","north west","Adults","695673"
"Janssen Vaccines & Prevention B.V","western cape","Adults","731307"
"Pfizer","eastern cape","12-17 Years","55799"
"Pfizer","eastern cape","Adults","1082698"
"Pfizer","free state","12-17 Years","59925"
"Pfizer","free state","Adults","568760"
"Pfizer","gauteng","12-17 Years","136320"
"Pfizer","gauteng","Adults","3281121"
"Pfizer","kwazulu-natal","12-17 Years","73930"
"Pfizer","kwazulu-natal","Adults","1568841"
"Pfizer","limpopo","12-17 Years","63321"
"Pfizer","limpopo","Adults","845876"
"Pfizer","mpumalanga","12-17 Years","30713"
"Pfizer","mpumalanga","Adults","449331"
"Pfizer","northern cape","12-17 Years","7578"
"Pfizer","northern cape","Adults","185469"
"Pfizer","north west","12-17 Years","40047"
"Pfizer","north west","Adults","520195"
"Pfizer","western cape","12-17 Years","48151"
"Pfizer","western cape","Adults","1824180"
