"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","393"
"eastern cape","Public Health","6000"
"free state","Private Health","316"
"free state","Public Health","2371"
"gauteng","Private Health","2292"
"gauteng","Public Health","5290"
"kwazulu-natal","Private Health","655"
"kwazulu-natal","Public Health","5579"
"limpopo","Private Health","350"
"limpopo","Public Health","6054"
"mpumalanga","Private Health","221"
"mpumalanga","Public Health","3098"
"northern cape","Private Health","111"
"northern cape","Public Health","1119"
"north west","Private Health","279"
"north west","Public Health","2123"
"western cape","Private Health","1109"
"western cape","Public Health","2294"
