"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","489"
"Janssen Vaccines & Prevention B.V","free state","Adults","223"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1058"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","729"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","556"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","684"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","124"
"Janssen Vaccines & Prevention B.V","north west","Adults","293"
"Janssen Vaccines & Prevention B.V","western cape","Adults","368"
"Pfizer","eastern cape","12-17 Years","1311"
"Pfizer","eastern cape","Adults","777"
"Pfizer","free state","12-17 Years","274"
"Pfizer","free state","Adults","376"
"Pfizer","gauteng","12-17 Years","426"
"Pfizer","gauteng","Adults","1428"
"Pfizer","kwazulu-natal","12-17 Years","684"
"Pfizer","kwazulu-natal","Adults","1074"
"Pfizer","limpopo","12-17 Years","865"
"Pfizer","limpopo","Adults","614"
"Pfizer","mpumalanga","12-17 Years","440"
"Pfizer","mpumalanga","Adults","298"
"Pfizer","northern cape","12-17 Years","104"
"Pfizer","northern cape","Adults","152"
"Pfizer","north west","12-17 Years","408"
"Pfizer","north west","Adults","302"
"Pfizer","western cape","12-17 Years","95"
"Pfizer","western cape","Adults","595"
