"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536327"
"kwazulu-natal","Private Health","1235171"
"western cape","Private Health","1919692"
"limpopo","Private Health","607381"
"northern cape","Public Health","606498"
"gauteng","Private Health","4565636"
"kwazulu-natal","Public Health","4647992"
"free state","Public Health","1858430"
"north west","Public Health","1782128"
"gauteng","Public Health","5820798"
"mpumalanga","Private Health","405929"
"mpumalanga","Public Health","1920245"
"northern cape","Private Health","157817"
"eastern cape","Private Health","693562"
"western cape","Public Health","3673770"
"limpopo","Public Health","3133352"
"free state","Private Health","399730"
"eastern cape","Public Health","3523506"
