"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10246","5101","15347"
"National","eastern cape","Private Health","Male","8668","3961","12629"
"National","eastern cape","Public Health","Female","148708","59642","208350"
"National","eastern cape","Public Health","Male","122730","43203","165933"
"National","free state","Private Health","Female","9115","4618","13733"
"National","free state","Private Health","Male","7520","3567","11087"
"National","free state","Public Health","Female","83349","40882","124231"
"National","free state","Public Health","Male","71400","30728","102128"
"National","gauteng","Private Health","Female","52868","30180","83048"
"National","gauteng","Private Health","Male","48553","25940","74493"
"National","gauteng","Public Health","Female","161078","65936","227014"
"National","gauteng","Public Health","Male","127517","48570","176087"
"National","kwazulu-natal","Private Health","Female","16736","9541","26277"
"National","kwazulu-natal","Private Health","Male","15216","8193","23409"
"National","kwazulu-natal","Public Health","Female","157383","71792","229175"
"National","kwazulu-natal","Public Health","Male","107348","43538","150886"
"National","limpopo","Private Health","Female","11820","5353","17173"
"National","limpopo","Private Health","Male","9203","3713","12916"
"National","limpopo","Public Health","Female","144549","50786","195335"
"National","limpopo","Public Health","Male","124787","37907","162694"
"National","mpumalanga","Private Health","Female","3909","1708","5617"
"National","mpumalanga","Private Health","Male","3424","1519","4943"
"National","mpumalanga","Public Health","Female","77208","28301","105509"
"National","mpumalanga","Public Health","Male","63577","19509","83086"
"National","northern cape","Private Health","Female","2106","1046","3152"
"National","northern cape","Private Health","Male","1935","819","2754"
"National","northern cape","Public Health","Female","18086","7256","25342"
"National","northern cape","Public Health","Male","14228","5326","19554"
"National","north west","Private Health","Female","5127","2401","7528"
"National","north west","Private Health","Male","4651","2028","6679"
"National","north west","Public Health","Female","77819","27956","105775"
"National","north west","Public Health","Male","64561","20428","84989"
"National","western cape","Private Health","Female","23098","12652","35750"
"National","western cape","Private Health","Male","20916","10952","31868"
"National","western cape","Public Health","Female","48268","16556","64824"
"National","western cape","Public Health","Male","40393","13639","54032"
