"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919432"
"Janssen Vaccines & Prevention B.V","free state","Adults","487966"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1552550"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1249043"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082431"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","832259"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216358"
"Janssen Vaccines & Prevention B.V","north west","Adults","714882"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752938"
"Pfizer","eastern cape","12-17 Years","111907"
"Pfizer","eastern cape","Adults","1134866"
"Pfizer","free state","12-17 Years","79795"
"Pfizer","free state","Adults","597012"
"Pfizer","gauteng","12-17 Years","170626"
"Pfizer","gauteng","Adults","3404014"
"Pfizer","kwazulu-natal","12-17 Years","133064"
"Pfizer","kwazulu-natal","Adults","1660886"
"Pfizer","limpopo","12-17 Years","97759"
"Pfizer","limpopo","Adults","882621"
"Pfizer","mpumalanga","12-17 Years","51037"
"Pfizer","mpumalanga","Adults","477030"
"Pfizer","northern cape","12-17 Years","14447"
"Pfizer","northern cape","Adults","194781"
"Pfizer","north west","12-17 Years","52813"
"Pfizer","north west","Adults","541497"
"Pfizer","western cape","12-17 Years","53799"
"Pfizer","western cape","Adults","1868871"
