"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","175"
"eastern cape","Public Health","2082"
"free state","Private Health","71"
"free state","Public Health","996"
"gauteng","Private Health","1149"
"gauteng","Public Health","1817"
"kwazulu-natal","Private Health","293"
"kwazulu-natal","Public Health","2291"
"limpopo","Private Health","241"
"limpopo","Public Health","1423"
"mpumalanga","Private Health","198"
"mpumalanga","Public Health","1264"
"northern cape","Private Health","61"
"northern cape","Public Health","693"
"north west","Private Health","115"
"north west","Public Health","712"
"western cape","Private Health","457"
"western cape","Public Health","870"
