"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","188"
"Janssen Vaccines & Prevention B.V","free state","Adults","112"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","439"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","330"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","165"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","342"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","138"
"Janssen Vaccines & Prevention B.V","north west","Adults","114"
"Janssen Vaccines & Prevention B.V","western cape","Adults","116"
"Pfizer","eastern cape","12-17 Years","72"
"Pfizer","eastern cape","Adults","430"
"Pfizer","free state","12-17 Years","52"
"Pfizer","free state","Adults","172"
"Pfizer","gauteng","12-17 Years","140"
"Pfizer","gauteng","Adults","606"
"Pfizer","kwazulu-natal","12-17 Years","194"
"Pfizer","kwazulu-natal","Adults","557"
"Pfizer","limpopo","12-17 Years","99"
"Pfizer","limpopo","Adults","256"
"Pfizer","mpumalanga","12-17 Years","34"
"Pfizer","mpumalanga","Adults","191"
"Pfizer","northern cape","12-17 Years","34"
"Pfizer","northern cape","Adults","106"
"Pfizer","north west","12-17 Years","30"
"Pfizer","north west","Adults","139"
"Pfizer","western cape","12-17 Years","48"
"Pfizer","western cape","Adults","213"
