"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533574"
"kwazulu-natal","Private Health","1227945"
"western cape","Private Health","1908258"
"limpopo","Private Health","599339"
"northern cape","Public Health","598586"
"gauteng","Private Health","4533828"
"kwazulu-natal","Public Health","4584501"
"free state","Public Health","1837253"
"north west","Public Health","1772269"
"gauteng","Public Health","5778677"
"mpumalanga","Private Health","402444"
"mpumalanga","Public Health","1886176"
"north west","","1"
"northern cape","Private Health","156523"
"eastern cape","Private Health","687820"
"western cape","Public Health","3650574"
"limpopo","Public Health","3096950"
"free state","Private Health","396487"
"eastern cape","Public Health","3462199"
