"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","915959"
"Janssen Vaccines & Prevention B.V","free state","Adults","486523"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1541036"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1239980"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1077673"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","825433"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215432"
"Janssen Vaccines & Prevention B.V","north west","Adults","712777"
"Janssen Vaccines & Prevention B.V","western cape","Adults","749543"
"Pfizer","eastern cape","12-17 Years","97031"
"Pfizer","eastern cape","Adults","1123978"
"Pfizer","free state","12-17 Years","77889"
"Pfizer","free state","Adults","591068"
"Pfizer","gauteng","12-17 Years","170257"
"Pfizer","gauteng","Adults","3382696"
"Pfizer","kwazulu-natal","12-17 Years","122602"
"Pfizer","kwazulu-natal","Adults","1644554"
"Pfizer","limpopo","12-17 Years","92336"
"Pfizer","limpopo","Adults","875463"
"Pfizer","mpumalanga","12-17 Years","46829"
"Pfizer","mpumalanga","Adults","471621"
"Pfizer","northern cape","12-17 Years","12435"
"Pfizer","northern cape","Adults","193486"
"Pfizer","north west","12-17 Years","52725"
"Pfizer","north west","Adults","538557"
"Pfizer","western cape","12-17 Years","52752"
"Pfizer","western cape","Adults","1860633"
