"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537335"
"kwazulu-natal","Private Health","1237108"
"western cape","Private Health","1922783"
"limpopo","Private Health","609580"
"northern cape","Public Health","609874"
"gauteng","Private Health","4576575"
"kwazulu-natal","Public Health","4669481"
"free state","Public Health","1867467"
"north west","Public Health","1787739"
"gauteng","Public Health","5843908"
"mpumalanga","Private Health","406594"
"mpumalanga","Public Health","1934341"
"northern cape","Private Health","158132"
"eastern cape","Private Health","694390"
"western cape","Public Health","3686076"
"limpopo","Public Health","3149360"
"free state","Private Health","400878"
"eastern cape","Public Health","3556641"
