"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","860185","0","150543","1010728"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","464237","0","93224","557461"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1421556","0","207051","1628607"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1158188","0","180103","1338291"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1050718","0","151063","1201781"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","813175","0","127481","940656"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","207447","0","34454","241901"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","692708","0","113029","805737"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","660357","0","111523","771880"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60872","0","24221","85093"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12199","36595"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137576","0","65388","202964"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94506","0","40023","134529"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21924","0","7151","29075"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23478","0","8965","32443"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94614","0","61527","156141"
"Pfizer","National","eastern cape","Adults","1354732","1140826","247123","2742681"
"Pfizer","National","eastern cape","12-17 Years","294923","117606","0","412529"
"Pfizer","National","free state","12-17 Years","170289","80124","0","250413"
"Pfizer","National","free state","Adults","681836","599583","142457","1423876"
"Pfizer","National","gauteng","12-17 Years","386536","169908","18","556462"
"Pfizer","National","gauteng","Adults","3937120","3413653","681679","8032452"
"Pfizer","National","kwazulu-natal","Adults","2002509","1667398","336244","4006151"
"Pfizer","National","kwazulu-natal","12-17 Years","293953","133656","9","427618"
"Pfizer","National","limpopo","Adults","1054419","885726","175919","2116064"
"Pfizer","National","limpopo","12-17 Years","290005","99885","2","389892"
"Pfizer","National","mpumalanga","12-17 Years","148283","53521","0","201804"
"Pfizer","National","mpumalanga","Adults","581759","479371","108270","1169400"
"Pfizer","National","northern cape","12-17 Years","36521","15024","0","51545"
"Pfizer","National","northern cape","Adults","228694","195370","36577","460641"
"Pfizer","National","north west","12-17 Years","150652","52577","4","203233"
"Pfizer","National","north west","Adults","628180","543040","112441","1283661"
"Pfizer","National","western cape","12-17 Years","131931","54337","3","186271"
"Pfizer","National","western cape","Adults","2131038","1872547","490982","4494567"
