"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538329"
"kwazulu-natal","Private Health","1238295"
"western cape","Private Health","1924274"
"limpopo","Private Health","611533"
"northern cape","Public Health","615246"
"gauteng","Private Health","4586585"
"kwazulu-natal","Public Health","4694040"
"mpumalanga","","20"
"free state","Public Health","1876696"
"north west","Public Health","1799276"
"gauteng","Public Health","5879799"
"mpumalanga","Private Health","406894"
"mpumalanga","Public Health","1953879"
"western cape","","2"
"northern cape","Private Health","158418"
"eastern cape","Private Health","695421"
"western cape","Public Health","3701929"
"limpopo","Public Health","3180832"
"free state","Private Health","402038"
"eastern cape","Public Health","3601926"
