"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","908763"
"Janssen Vaccines & Prevention B.V","free state","Adults","483050"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1522464"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1223575"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1071634"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","810364"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","212822"
"Janssen Vaccines & Prevention B.V","north west","Adults","708526"
"Janssen Vaccines & Prevention B.V","western cape","Adults","744044"
"Pfizer","eastern cape","12-17 Years","92641"
"Pfizer","eastern cape","Adults","1109172"
"Pfizer","free state","12-17 Years","75824"
"Pfizer","free state","Adults","583164"
"Pfizer","gauteng","12-17 Years","165351"
"Pfizer","gauteng","Adults","3350640"
"Pfizer","kwazulu-natal","12-17 Years","115602"
"Pfizer","kwazulu-natal","Adults","1618798"
"Pfizer","limpopo","12-17 Years","87331"
"Pfizer","limpopo","Adults","866432"
"Pfizer","mpumalanga","12-17 Years","44670"
"Pfizer","mpumalanga","Adults","462230"
"Pfizer","northern cape","12-17 Years","11029"
"Pfizer","northern cape","Adults","189946"
"Pfizer","north west","12-17 Years","51433"
"Pfizer","north west","Adults","532538"
"Pfizer","western cape","12-17 Years","51150"
"Pfizer","western cape","Adults","1848382"
