"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","528483"
"kwazulu-natal","Private Health","1215149"
"western cape","Private Health","1887379"
"limpopo","Private Health","591142"
"northern cape","Public Health","576999"
"gauteng","Private Health","4478911"
"kwazulu-natal","Public Health","4482340"
"free state","Public Health","1803315"
"north west","Public Health","1746852"
"gauteng","Public Health","5705867"
"mpumalanga","Private Health","394527"
"mpumalanga","Public Health","1829774"
"northern cape","Private Health","154815"
"eastern cape","Private Health","679930"
"western cape","Public Health","3615796"
"limpopo","Public Health","3047395"
"free state","Private Health","391950"
"eastern cape","Public Health","3392290"
