"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","71"
"gauteng","Private Health","73"
"gauteng","Public Health","212"
"kwazulu-natal","Private Health","27"
"kwazulu-natal","Public Health","387"
"limpopo","Private Health","32"
"limpopo","Public Health","32"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","41"
"north west","Public Health","520"
"western cape","Private Health","2"
"western cape","Public Health","7"
