"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","11","0","42","53"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","63","0","50","113"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","64","0","91","155"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","4","0","8","12"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","12","0","20","32"
"Janssen Vaccines & Prevention B.V","north west","Adults","60","0","186","246"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0","0","1","1"
"Pfizer","eastern cape","12-17 Years","2","2","0","4"
"Pfizer","eastern cape","Adults","0","6","12","18"
"Pfizer","gauteng","12-17 Years","17","20","0","37"
"Pfizer","gauteng","Adults","32","39","64","135"
"Pfizer","kwazulu-natal","12-17 Years","19","18","0","37"
"Pfizer","kwazulu-natal","Adults","53","98","71","222"
"Pfizer","limpopo","12-17 Years","7","4","0","11"
"Pfizer","limpopo","Adults","14","14","13","41"
"Pfizer","mpumalanga","Adults","2","2","7","11"
"Pfizer","north west","12-17 Years","23","26","0","49"
"Pfizer","north west","Adults","39","91","95","225"
"Pfizer","western cape","Adults","4","0","4","8"
