"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","126"
"Janssen Vaccines & Prevention B.V","free state","Adults","75"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","350"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","343"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","52"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","335"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","99"
"Janssen Vaccines & Prevention B.V","north west","Adults","47"
"Janssen Vaccines & Prevention B.V","western cape","Adults","133"
"Pfizer","eastern cape","12-17 Years","70"
"Pfizer","eastern cape","Adults","403"
"Pfizer","free state","12-17 Years","57"
"Pfizer","free state","Adults","193"
"Pfizer","gauteng","12-17 Years","206"
"Pfizer","gauteng","Adults","573"
"Pfizer","kwazulu-natal","12-17 Years","132"
"Pfizer","kwazulu-natal","Adults","433"
"Pfizer","limpopo","12-17 Years","80"
"Pfizer","limpopo","Adults","131"
"Pfizer","mpumalanga","12-17 Years","60"
"Pfizer","mpumalanga","Adults","247"
"Pfizer","northern cape","12-17 Years","43"
"Pfizer","northern cape","Adults","86"
"Pfizer","north west","12-17 Years","21"
"Pfizer","north west","Adults","69"
"Pfizer","western cape","12-17 Years","56"
"Pfizer","western cape","Adults","241"
