"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","153"
"eastern cape","Public Health","1570"
"free state","Private Health","101"
"free state","Public Health","804"
"gauteng","Private Health","1200"
"gauteng","Public Health","1333"
"kwazulu-natal","Private Health","268"
"kwazulu-natal","Public Health","1626"
"limpopo","Private Health","156"
"limpopo","Public Health","552"
"mpumalanga","Private Health","273"
"mpumalanga","Public Health","1471"
"northern cape","Private Health","60"
"northern cape","Public Health","608"
"north west","Private Health","97"
"north west","Public Health","333"
"western cape","Private Health","493"
"western cape","Public Health","818"
