"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","6"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","24"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","18"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","59"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","7"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","2"
"Janssen Vaccines & Prevention B.V","north west","Adults","8"
"Janssen Vaccines & Prevention B.V","western cape","Adults","15"
"Pfizer","eastern cape","12-17 Years","17"
"Pfizer","eastern cape","Adults","5"
"Pfizer","gauteng","12-17 Years","2"
"Pfizer","gauteng","Adults","13"
"Pfizer","kwazulu-natal","12-17 Years","2"
"Pfizer","kwazulu-natal","Adults","11"
"Pfizer","limpopo","12-17 Years","4"
"Pfizer","limpopo","Adults","37"
"Pfizer","mpumalanga","12-17 Years","0"
"Pfizer","mpumalanga","Adults","5"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","9"
"Pfizer","north west","12-17 Years","4"
"Pfizer","north west","Adults","28"
"Pfizer","western cape","12-17 Years","5"
"Pfizer","western cape","Adults","7"
