"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","2"
"eastern cape","Public Health","44"
"gauteng","Private Health","26"
"gauteng","Public Health","34"
"kwazulu-natal","Private Health","2"
"kwazulu-natal","Public Health","60"
"limpopo","Private Health","11"
"limpopo","Public Health","277"
"mpumalanga","Public Health","34"
"northern cape","Private Health","1"
"northern cape","Public Health","23"
"north west","Public Health","135"
"western cape","Private Health","0"
"western cape","Public Health","88"
