"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10457","5114","15571"
"National","eastern cape","Private Health","Male","8857","3976","12833"
"National","eastern cape","Public Health","Female","144047","51669","195716"
"National","eastern cape","Public Health","Male","118181","36312","154493"
"National","free state","Private Health","Female","9145","4612","13757"
"National","free state","Private Health","Male","7500","3526","11026"
"National","free state","Public Health","Female","83673","39907","123580"
"National","free state","Public Health","Male","71551","29890","101441"
"National","gauteng","Private Health","Female","53646","30346","83992"
"National","gauteng","Private Health","Male","49263","26006","75269"
"National","gauteng","Public Health","Female","163091","65748","228839"
"National","gauteng","Public Health","Male","128890","48251","177141"
"National","kwazulu-natal","Private Health","Female","17137","9694","26831"
"National","kwazulu-natal","Private Health","Male","15506","8260","23766"
"National","kwazulu-natal","Public Health","Female","156416","65168","221584"
"National","kwazulu-natal","Public Health","Male","106505","39540","146045"
"National","limpopo","Private Health","Female","11796","5182","16978"
"National","limpopo","Private Health","Male","9194","3628","12822"
"National","limpopo","Public Health","Female","141013","47794","188807"
"National","limpopo","Public Health","Male","122476","35782","158258"
"National","mpumalanga","Private Health","Female","4012","1730","5742"
"National","mpumalanga","Private Health","Male","3499","1524","5023"
"National","mpumalanga","Public Health","Female","75613","25694","101307"
"National","mpumalanga","Public Health","Male","62803","17913","80716"
"National","northern cape","Private Health","Female","2133","1066","3199"
"National","northern cape","Private Health","Male","1954","813","2767"
"National","northern cape","Public Health","Female","17425","6080","23505"
"National","northern cape","Public Health","Male","13648","4471","18119"
"National","north west","Private Health","Female","5227","2439","7666"
"National","north west","Private Health","Male","4738","2043","6781"
"National","north west","Public Health","Female","78869","27982","106851"
"National","north west","Public Health","Male","65342","20278","85620"
"National","western cape","Private Health","Female","23589","12767","36356"
"National","western cape","Private Health","Male","21237","11014","32251"
"National","western cape","Public Health","Female","46982","15948","62930"
"National","western cape","Public Health","Male","39259","13069","52328"
