"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533534"
"kwazulu-natal","Private Health","1227811"
"western cape","Private Health","1908004"
"limpopo","Private Health","599261"
"northern cape","Public Health","598452"
"gauteng","Private Health","4533315"
"kwazulu-natal","Public Health","4583785"
"free state","Public Health","1837199"
"north west","Public Health","1771847"
"gauteng","Public Health","5778405"
"mpumalanga","Private Health","402400"
"mpumalanga","Public Health","1886088"
"northern cape","Private Health","156515"
"eastern cape","Private Health","687760"
"western cape","Public Health","3650538"
"limpopo","Public Health","3096864"
"free state","Private Health","396466"
"eastern cape","Public Health","3461989"
