"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10680","4955","15635"
"National","eastern cape","Private Health","Male","8916","3780","12696"
"National","eastern cape","Public Health","Female","134140","38721","172861"
"National","eastern cape","Public Health","Male","108426","26089","134515"
"National","free state","Private Health","Female","9070","4176","13246"
"National","free state","Private Health","Male","7423","3200","10623"
"National","free state","Public Health","Female","81012","35169","116181"
"National","free state","Public Health","Male","68895","25746","94641"
"National","gauteng","Private Health","Female","54202","29054","83256"
"National","gauteng","Private Health","Male","49332","24667","73999"
"National","gauteng","Public Health","Female","154635","57283","211918"
"National","gauteng","Public Health","Male","121829","41715","163544"
"National","kwazulu-natal","Private Health","Female","17479","9468","26947"
"National","kwazulu-natal","Private Health","Male","15736","7981","23717"
"National","kwazulu-natal","Public Health","Female","134962","48040","183002"
"National","kwazulu-natal","Public Health","Male","91296","28606","119902"
"National","limpopo","Private Health","Female","11162","4592","15754"
"National","limpopo","Private Health","Male","8725","3295","12020"
"National","limpopo","Public Health","Female","124652","37716","162368"
"National","limpopo","Public Health","Male","105038","27897","132935"
"National","mpumalanga","Private Health","Female","4026","1636","5662"
"National","mpumalanga","Private Health","Male","3518","1407","4925"
"National","mpumalanga","Public Health","Female","69753","19680","89433"
"National","mpumalanga","Public Health","Male","58178","14093","72271"
"National","northern cape","Private Health","Female","2149","1004","3153"
"National","northern cape","Private Health","Male","1946","744","2690"
"National","northern cape","Public Health","Female","14136","3994","18130"
"National","northern cape","Public Health","Male","11148","2981","14129"
"National","north west","Private Health","Female","5276","2359","7635"
"National","north west","Private Health","Male","4760","1969","6729"
"National","north west","Public Health","Female","76223","24145","100368"
"National","north west","Public Health","Male","62666","17209","79875"
"National","western cape","Private Health","Female","23701","11900","35601"
"National","western cape","Private Health","Male","21180","10144","31324"
"National","western cape","Public Health","Female","46844","15120","61964"
"National","western cape","Public Health","Male","38822","12298","51120"
