"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","899279"
"Janssen Vaccines & Prevention B.V","free state","Adults","478532"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1499426"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1205798"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1060260"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","796006"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210645"
"Janssen Vaccines & Prevention B.V","north west","Adults","702228"
"Janssen Vaccines & Prevention B.V","western cape","Adults","737111"
"Pfizer","eastern cape","12-17 Years","73545"
"Pfizer","eastern cape","Adults","1095064"
"Pfizer","free state","12-17 Years","68291"
"Pfizer","free state","Adults","575349"
"Pfizer","gauteng","12-17 Years","152719"
"Pfizer","gauteng","Adults","3314292"
"Pfizer","kwazulu-natal","12-17 Years","94095"
"Pfizer","kwazulu-natal","Adults","1591232"
"Pfizer","limpopo","12-17 Years","73500"
"Pfizer","limpopo","Adults","855647"
"Pfizer","mpumalanga","12-17 Years","36816"
"Pfizer","mpumalanga","Adults","455019"
"Pfizer","northern cape","12-17 Years","8723"
"Pfizer","northern cape","Adults","187400"
"Pfizer","north west","12-17 Years","45682"
"Pfizer","north west","Adults","526335"
"Pfizer","western cape","12-17 Years","49462"
"Pfizer","western cape","Adults","1835761"
