"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","521137"
"kwazulu-natal","Private Health","1199979"
"western cape","Private Health","1862073"
"limpopo","Private Health","580062"
"northern cape","Public Health","557219"
"gauteng","Private Health","4416725"
"kwazulu-natal","Public Health","4326194"
"free state","Public Health","1756656"
"north west","Public Health","1705086"
"gauteng","Public Health","5588411"
"mpumalanga","Private Health","388732"
"mpumalanga","Public Health","1765666"
"northern cape","Private Health","152364"
"eastern cape","Private Health","670545"
"western cape","Public Health","3571775"
"limpopo","Public Health","2947996"
"free state","Private Health","383833"
"eastern cape","Public Health","3285469"
