"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","0"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","0"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","0"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","0"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","24"
"Pfizer","eastern cape","Adults","89"
"Pfizer","free state","12-17 Years","6"
"Pfizer","free state","Adults","15"
"Pfizer","gauteng","12-17 Years","33"
"Pfizer","gauteng","Adults","220"
"Pfizer","kwazulu-natal","12-17 Years","18"
"Pfizer","kwazulu-natal","Adults","57"
"Pfizer","limpopo","12-17 Years","18"
"Pfizer","limpopo","Adults","54"
"Pfizer","mpumalanga","12-17 Years","21"
"Pfizer","mpumalanga","Adults","44"
"Pfizer","northern cape","12-17 Years","9"
"Pfizer","northern cape","Adults","25"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","26"
"Pfizer","western cape","12-17 Years","10"
"Pfizer","western cape","Adults","41"
