"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","871"
"free state","Private Health","2"
"free state","Public Health","127"
"gauteng","Private Health","150"
"gauteng","Public Health","959"
"kwazulu-natal","Private Health","19"
"kwazulu-natal","Public Health","404"
"limpopo","Private Health","66"
"limpopo","Public Health","526"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","391"
"northern cape","Public Health","134"
"north west","Private Health","35"
"north west","Public Health","256"
"western cape","Private Health","27"
"western cape","Public Health","326"
