"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531713"
"kwazulu-natal","Private Health","1222387"
"western cape","Private Health","1899066"
"limpopo","Private Health","595714"
"northern cape","Public Health","586885"
"gauteng","Private Health","4510345"
"kwazulu-natal","Public Health","4540959"
"free state","Public Health","1822309"
"north west","Public Health","1761513"
"gauteng","Public Health","5749982"
"mpumalanga","Private Health","398366"
"mpumalanga","Public Health","1859761"
"northern cape","Private Health","155837"
"eastern cape","Private Health","684310"
"western cape","Public Health","3635608"
"limpopo","Public Health","3080969"
"free state","Private Health","394794"
"eastern cape","Public Health","3430180"
