"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","913234"
"Janssen Vaccines & Prevention B.V","free state","Adults","485149"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1533128"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1232085"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1075299"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","818280"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213962"
"Janssen Vaccines & Prevention B.V","north west","Adults","711011"
"Janssen Vaccines & Prevention B.V","western cape","Adults","747183"
"Pfizer","eastern cape","12-17 Years","95183"
"Pfizer","eastern cape","Adults","1116471"
"Pfizer","free state","12-17 Years","77526"
"Pfizer","free state","Adults","587301"
"Pfizer","gauteng","12-17 Years","169283"
"Pfizer","gauteng","Adults","3368978"
"Pfizer","kwazulu-natal","12-17 Years","120341"
"Pfizer","kwazulu-natal","Adults","1632820"
"Pfizer","limpopo","12-17 Years","91376"
"Pfizer","limpopo","Adults","871698"
"Pfizer","mpumalanga","12-17 Years","46232"
"Pfizer","mpumalanga","Adults","467029"
"Pfizer","northern cape","12-17 Years","11507"
"Pfizer","northern cape","Adults","191603"
"Pfizer","north west","12-17 Years","52450"
"Pfizer","north west","Adults","536039"
"Pfizer","western cape","12-17 Years","52303"
"Pfizer","western cape","Adults","1855108"
