"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10559","5123","15682"
"National","eastern cape","Private Health","Male","8902","3954","12856"
"National","eastern cape","Public Health","Female","144254","50691","194945"
"National","eastern cape","Public Health","Male","118246","35415","153661"
"National","free state","Private Health","Female","9208","4573","13781"
"National","free state","Private Health","Male","7541","3483","11024"
"National","free state","Public Health","Female","84016","39752","123768"
"National","free state","Public Health","Male","71802","29718","101520"
"National","gauteng","Private Health","Female","53891","30120","84011"
"National","gauteng","Private Health","Male","49465","25763","75228"
"National","gauteng","Public Health","Female","163806","65465","229271"
"National","gauteng","Public Health","Male","129368","47935","177303"
"National","kwazulu-natal","Private Health","Female","17288","9699","26987"
"National","kwazulu-natal","Private Health","Male","15623","8244","23867"
"National","kwazulu-natal","Public Health","Female","156139","63630","219769"
"National","kwazulu-natal","Public Health","Male","106336","38768","145104"
"National","limpopo","Private Health","Female","11844","5137","16981"
"National","limpopo","Private Health","Male","9221","3582","12803"
"National","limpopo","Public Health","Female","141274","47258","188532"
"National","limpopo","Public Health","Male","122710","35399","158109"
"National","mpumalanga","Private Health","Female","4041","1721","5762"
"National","mpumalanga","Private Health","Male","3527","1504","5031"
"National","mpumalanga","Public Health","Female","75496","25335","100831"
"National","mpumalanga","Public Health","Male","62728","17672","80400"
"National","northern cape","Private Health","Female","2147","1066","3213"
"National","northern cape","Private Health","Male","1974","805","2779"
"National","northern cape","Public Health","Female","17038","5554","22592"
"National","northern cape","Public Health","Male","13327","4082","17409"
"National","north west","Private Health","Female","5276","2444","7720"
"National","north west","Private Health","Male","4765","2043","6808"
"National","north west","Public Health","Female","79209","27866","107075"
"National","north west","Public Health","Male","65550","20097","85647"
"National","western cape","Private Health","Female","23682","12622","36304"
"National","western cape","Private Health","Male","21316","10918","32234"
"National","western cape","Public Health","Female","47262","15826","63088"
"National","western cape","Public Health","Male","39404","12937","52341"
