"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537679"
"kwazulu-natal","Private Health","1237682"
"western cape","Private Health","1923538"
"limpopo","Private Health","610365"
"northern cape","Public Health","611236"
"gauteng","Private Health","4580870"
"kwazulu-natal","Public Health","4677662"
"mpumalanga","","17"
"free state","Public Health","1870899"
"north west","Public Health","1791095"
"gauteng","Public Health","5855207"
"mpumalanga","Private Health","406721"
"mpumalanga","Public Health","1939455"
"western cape","","1"
"northern cape","Private Health","158242"
"eastern cape","Private Health","694751"
"western cape","Public Health","3690722"
"limpopo","Public Health","3159255"
"free state","Private Health","401236"
"eastern cape","Public Health","3570194"
